frame,modelo_1,modelo_2
0,14.9,14.5
1,15.5,15.3
2,16.3,16.4
3,17.5,17.5
4,19.2,19.3
5,20.5,21.2
6,22.0,22.8
7,23.1,23.9
8,23.8,24.7
9,24.2,24.5
10,23.9,23.6
11,23.2,22.3
12,22.3,20.9
13,21.3,19.5
14,19.8,18.3
15,18.6,17.3
16,17.6,16.7
17,17.0,16.6
18,16.5,17.1
19,16.6,18.0
20,17.0,19.0
21,17.9,20.2
22,18.9,21.5
23,20.0,22.6
24,21.2,23.3
25,22.0,23.9
26,22.8,24.0
27,23.1,23.5
28,23.3,22.8
29,23.0,21.6
30,22.4,20.5
31,21.3,19.5
32,20.2,18.4
33,19.2,17.7
34,18.5,17.4
35,17.8,17.5
36,17.3,18.0
37,17.2,18.6
38,17.5,19.5
39,18.0,20.5
40,18.8,21.4
41,19.7,22.2
42,20.5,22.8
43,21.3,23.1
44,21.9,23.0
45,22.3,22.6
46,22.5,22.0
47,22.4,21.2
48,22.1,20.3
49,21.6,19.6
50,21.0,18.9
51,20.2,18.5
52,19.5,18.3
53,18.9,18.4
54,18.4,18.7
55,18.1,19.1
56,18.0,19.8
57,18.2,20.5
58,18.5,21.1
59,19.0,21.7
60,19.6,22.1
62,20.8,22.3
64,21.7,21.6
66,21.9,20.5
68,21.4,19.5
70,20.5,19.0
72,19.5,19.2
74,18.8,19.9
76,18.6,20.8
78,19.2,21.4
80,20.0,21.6
84,21.4,20.6
90,20.5,19.7
96,18.9,21.0
100,20.1,21.1
